DV1	V2	P1	1.0	32.0	0.0	32.0
DV2	V2	P2	1.0	32.0	0.0	32.0
DV3	V2	P3	1.0	32.0	0.0	32.0
DV4	V4	P4	1.0	48.0	0.0	48.0
DV5	V4	P5	1.0	48.0	0.0	48.0
DV6	V5	P6	1.0	48.0	0.0	48.0
DV7	V6	P7	1.0	47.0	0.0	47.0
DV8	V7	P8	1.0	32.0	0.0	32.0
DV9	V8	P9	1.0	16.0	0.0	16.0
DV10	V9	P9	1.0	16.0	0.0	16.0
DV11	V10	P10	1.0	16.0	0.0	16.0
DV12	V11	P11	1.0	48.0	0.0	48.0
DV13	V12	P12	1.0	32.0	0.0	32.0
DV14	V13	P13	1.0	48.0	0.0	48.0
DV15	V14	P1	1.0	32.0	0.0	32.0
DV16	V14	P13	1.0	48.0	0.0	48.0
DV17	V15	P14	1.0	32.0	0.0	32.0
DV18	V16	P15	1.0	16.0	0.0	16.0
DV19	V17	P16	1.0	48.0	0.0	48.0
DV20	V18	P3	1.0	32.0	0.0	32.0
DV21	V18	P3	1.0	32.0	0.0	32.0
DV22	V18	P9	2.0	16.0	0.0	32.0
DV23	V19	P3	1.0	32.0	0.0	32.0
DV24	V19	P9	2.0	16.0	0.0	32.0
DV25	V20	P3	1.0	32.0	0.0	32.0
DV26	V20	P9	2.0	16.0	0.0	32.0
